Category,Source,Title,Link,Description,Stars,RelevanceScore,HasPublicModel,PhilippinesRelevant
Research Paper,arXiv,Garbage Vulnerable Point Monitoring using IoT and Computer Vision,http://arxiv.org/abs/2511.07325v1,"This paper proposes a smart way to manage municipal solid waste by using the Internet of Things (IoT) and computer vision (CV) to monitor illegal waste dumping at garbage vulnerable points (GVPs) in urban areas. The system can quickly detect and monitor dumped waste using a street-level camera and object detection algorithm. Data was collected from the Sangareddy district in Telangana, India. A se...",Published: 2025-11-10,11,True,False
Research Paper,arXiv,AI Based Waste classifier with Thermo-Rapid Composting,http://arxiv.org/abs/2108.01394v1,Waste management is a certainly a very complex and difficult process especially in very large cities. It needs immense man power and also uses up other resources such as electricity and fuel. This creates a need to use a novel method with help of latest technologies. Here in this article we present a new waste classification technique using Computer Vision (CV) and deep learning (DL). To further i...,Published: 2021-08-03,11,True,False
Research Paper,arXiv,State of the art applications of deep learning within tracking and detecting marine debris: A survey,http://arxiv.org/abs/2403.18067v1,"Deep learning techniques have been explored within the marine litter problem for approximately 20 years but the majority of the research has developed rapidly in the last five years. We provide an in-depth, up to date, summary and analysis of 28 of the most recent and significant contributions of deep learning in marine debris. From cross referencing the research paper results, the YOLO family sig...",Published: 2024-03-26,11,True,False
Research Paper,arXiv,Optimizing Waste Management with Advanced Object Detection for Garbage Classification,http://arxiv.org/abs/2410.09975v2,"Garbage production and littering are persistent global issues that pose significant environmental challenges. Despite large-scale efforts to manage waste through collection and sorting, existing approaches remain inefficient, leading to inadequate recycling and disposal. Therefore, developing advanced AI-based systems is less labor intensive approach for addressing the growing waste problem more e...",Published: 2024-10-13,11,True,False
Research Paper,arXiv,Implementing Edge Based Object Detection For Microplastic Debris,http://arxiv.org/abs/2307.16289v1,"Plastic has imbibed itself as an indispensable part of our day to day activities, becoming a source of problems due to its non-biodegradable nature and cheaper production prices. With these problems, comes the challenge of mitigating and responding to the aftereffects of disposal or the lack of proper disposal which leads to waste concentrating in locations and disturbing ecosystems for both plant...",Published: 2023-07-30,10,True,False
Research Paper,arXiv,Instance Semantic Segmentation Benefits from Generative Adversarial Networks,http://arxiv.org/abs/2010.13757v2,"In design of instance segmentation networks that reconstruct masks, segmentation is often taken as its literal definition -- assigning each pixel a label. This has led to thinking the problem as a template matching one with the goal of minimizing the loss between the reconstructed and the ground truth pixels. Rethinking reconstruction networks as a generator, we define the problem of predicting ma...",Published: 2020-10-26,9,True,True
Research Paper,arXiv,Integrating Trustworthy Artificial Intelligence with Energy-Efficient Robotic Arms for Waste Sorting,http://arxiv.org/abs/2510.17408v1,"This paper presents a novel methodology that integrates trustworthy artificial intelligence (AI) with an energy-efficient robotic arm for intelligent waste classification and sorting. By utilizing a convolutional neural network (CNN) enhanced through transfer learning with MobileNetV2, the system accurately classifies waste into six categories: plastic, glass, metal, paper, cardboard, and trash. T...",Published: 2025-10-20,9,True,False
Research Paper,arXiv,PoTATO: A Dataset for Analyzing Polarimetric Traces of Afloat Trash Objects,http://arxiv.org/abs/2409.12659v1,"Plastic waste in aquatic environments poses severe risks to marine life and human health. Autonomous robots can be utilized to collect floating waste, but they require accurate object identification capability. While deep learning has been widely used as a powerful tool for this task, its performance is significantly limited by outdoor light conditions and water surface reflection. Light polarizat...",Published: 2024-09-19,9,True,False
Research Paper,arXiv,TrashCan: A Semantically-Segmented Dataset towards Visual Detection of Marine Debris,http://arxiv.org/abs/2007.08097v1,"This paper presents TrashCan, a large dataset comprised of images of underwater trash collected from a variety of sources, annotated both using bounding boxes and segmentation labels, for development of robust detectors of marine debris. The dataset has two versions, TrashCan-Material and TrashCan-Instance, corresponding to different object class configurations. The eventual goal is to develop eff...",Published: 2020-07-16,9,True,False
Research Paper,arXiv,Transfer Learning for Instance Segmentation of Waste Bottles using Mask R-CNN Algorithm,http://arxiv.org/abs/2204.07437v1,This paper proposes a methodological approach with a transfer learning scheme for plastic waste bottle detection and instance segmentation using the \textit{mask region proposal convolutional neural network} (Mask R-CNN). Plastic bottles constitute one of the major pollutants posing a serious threat to the environment both in oceans and on land. The automated identification and segregation of bott...,Published: 2022-04-15,9,True,False
Research Paper,arXiv,Construction Site Safety Monitoring and Excavator Activity Analysis System,http://arxiv.org/abs/2110.03083v3,"With the recent advancements in deep learning and computer vision, the AI-powered construction machine such as autonomous excavator has made significant progress. Safety is the most important section in modern construction, where construction machines are more and more automated. In this paper, we propose a vision-based excavator perception, activity analysis, and safety monitoring system. Our per...",Published: 2021-10-06,9,True,False
Research Paper,arXiv,First demonstration of neural sensing and control in a kilometer-scale gravitational wave observatory,http://arxiv.org/abs/2301.06221v2,"Suspended optics in gravitational wave (GW) observatories are susceptible to alignment perturbations, particularly slow drifts over time, due to variations in temperature and seismic levels. Such misalignments affect the coupling of the incident laser beam into the optical cavities, degrade both circulating power and optomechanical photon squeezing and thus decrease the astrophysical sensitivity t...",Published: 2023-01-16,8,True,True
Research Paper,arXiv,DeepWaste: Applying Deep Learning to Waste Classification for a Sustainable Planet,http://arxiv.org/abs/2101.05960v1,"Accurate waste disposal, at the point of disposal, is crucial to fighting climate change. When materials that could be recycled or composted get diverted into landfills, they cause the emission of potent greenhouse gases such as methane. Current attempts to reduce erroneous waste disposal are expensive, inaccurate, and confusing. In this work, we propose DeepWaste, an easy-to-use mobile app, that ...",Published: 2021-01-15,8,True,False
Research Paper,arXiv,Enhancing Object Detection with Privileged Information: A Model-Agnostic Teacher-Student Approach,http://arxiv.org/abs/2601.02016v1,"This paper investigates the integration of the Learning Using Privileged Information (LUPI) paradigm in object detection to exploit fine-grained, descriptive information available during training but not at inference. We introduce a general, model-agnostic methodology for injecting privileged information-such as bounding box masks, saliency maps, and depth cues-into deep learning-based object dete...",Published: 2026-01-05,8,True,False
Research Paper,arXiv,WasteNet: Waste Classification at the Edge for Smart Bins,http://arxiv.org/abs/2006.05873v1,"Smart Bins have become popular in smart cities and campuses around the world. These bins have a compaction mechanism that increases the bins' capacity as well as automated real-time collection notifications. In this paper, we propose WasteNet, a waste classification model based on convolutional neural networks that can be deployed on a low power device at the edge of the network, such as a Jetson ...",Published: 2020-06-10,7,True,False
Research Paper,arXiv,Classification of PS and ABS Black Plastics for WEEE Recycling Applications,http://arxiv.org/abs/2110.12896v1,"Pollution and climate change are some of the biggest challenges that humanity is facing. In such a context, efficient recycling is a crucial tool for a sustainable future. This work is aimed at creating a system that can classify different types of plastics by using picture analysis, in particular, black plastics of the type Polystyrene (PS) and Acrylonitrile Butadiene Styrene (ABS). They are two ...",Published: 2021-10-20,7,True,False
GitHub Topic,GitHub Topics (trash-detection),shrimantasatpati/Trash_detection_Yolov10_StreamLit,https://github.com/shrimantasatpati/Trash_detection_Yolov10_StreamLit,,6,6,True,False
Research Paper,arXiv,Towards artificially intelligent recycling Improving image processing for waste classification,http://arxiv.org/abs/2108.06274v1,The ever-increasing amount of global refuse is overwhelming the waste and recycling management industries. The need for smart systems for environmental monitoring and the enhancement of recycling processes is thus greater than ever. Amongst these efforts lies IBM's Wastenet project which aims to improve recycling by using artificial intelligence for waste classification. The work reported in this ...,Published: 2021-08-09,6,True,False
Research Paper,arXiv,Learning Using Privileged Information for Litter Detection,http://arxiv.org/abs/2508.04124v1,"As litter pollution continues to rise globally, developing automated tools capable of detecting litter effectively remains a significant challenge. This study presents a novel approach that combines, for the first time, privileged information with deep learning object detection to improve litter detection while maintaining model efficiency. We evaluate our method across five widely used object det...",Published: 2025-08-06,6,True,False
Research Paper,arXiv,Rock Classification through Knowledge-Enhanced Deep Learning: A Hybrid Mineral-Based Approach,http://arxiv.org/abs/2510.13937v1,"Automated rock classification from mineral composition presents a significant challenge in geological applications, with critical implications for material recycling, resource management, and industrial processing. While existing methods using One dimensional Convolutional Neural Network (1D-CNN) excel at mineral identification through Raman spectroscopy, the crucial step of determining rock types...",Published: 2025-10-15,6,True,False
Research Paper,arXiv,Leveraging CNN and IoT for Effective E-Waste Management,http://arxiv.org/abs/2506.16647v1,"The increasing proliferation of electronic devices in the modern era has led to a significant surge in electronic waste (e-waste). Improper disposal and insufficient recycling of e-waste pose serious environmental and health risks. This paper proposes an IoT-enabled system combined with a lightweight CNN-based classification pipeline to enhance the identification, categorization, and routing of e-...",Published: 2025-06-19,6,True,False
Research Paper,arXiv,TextileNet: A Material Taxonomy-based Fashion Textile Dataset,http://arxiv.org/abs/2301.06160v1,"The rise of Machine Learning (ML) is gradually digitalizing and reshaping the fashion industry. Recent years have witnessed a number of fashion AI applications, for example, virtual try-ons. Textile material identification and categorization play a crucial role in the fashion textile sector, including fashion design, retails, and recycling. At the same time, Net Zero is a global goal and the fashi...",Published: 2023-01-15,6,True,False
Public Model,HuggingFace,turhancan97/yolov8-segment-trash-detection,https://huggingface.co/turhancan97/yolov8-segment-trash-detection,"Pipeline:  | Downloads: 0 | Likes: 5 | Tags: computer-vision, yolov8, segmentation, en, dataset:garythung/trashnet",⬇0 ❤5,6,True,False
Public Model,HuggingFace,turhancan97/yolov5-obb-trash-detection,https://huggingface.co/turhancan97/yolov5-obb-trash-detection,"Pipeline: object-detection | Downloads: 0 | Likes: 5 | Tags: object-detection, computer-vision, en, dataset:garythung/trashnet, dataset:Zesky665/TACO",⬇0 ❤5,5,True,False
Public Model,HuggingFace,kendrickfff/waste-classification-yolov8-ken,https://huggingface.co/kendrickfff/waste-classification-yolov8-ken,"Pipeline: object-detection | Downloads: 0 | Likes: 1 | Tags: object-detection, yolo, yolov8, waste-classification, computer-vision",⬇0 ❤1,5,True,False
GitHub Topic,GitHub Topics (trash-detection),Antraxmin/Trash-Detection-API,https://github.com/Antraxmin/Trash-Detection-API,,5,4,True,False
GitHub Topic,GitHub Topics (garbage-classification),R1SE23/garbage-classification-flask,https://github.com/R1SE23/garbage-classification-flask,,0,4,True,False
GitHub Search,GitHub Search (trash detection api),trasheduits/API-trashdetection,https://github.com/trasheduits/API-trashdetection,,,4,True,False
GitHub Search,GitHub Search (trash detection api),meet-soni5720/trash_detection_api,https://github.com/meet-soni5720/trash_detection_api,,,4,True,False
GitHub Search,GitHub Search (trash detection api),AlexandraGoff/trash-detection-api,https://github.com/AlexandraGoff/trash-detection-api,,,4,True,False
GitHub Search,GitHub Search (trash detection api),streetstylecoder/trash-detection-api,https://github.com/streetstylecoder/trash-detection-api,,,4,True,False
GitHub Search,GitHub Search (trash detection api),maruf-bin-salim/trash-detection-api,https://github.com/maruf-bin-salim/trash-detection-api,,,4,True,False
GitHub Search,GitHub Search (waste detection api),bimarakajati/WasteTrack-YOLO-API,https://github.com/bimarakajati/WasteTrack-YOLO-API,,,4,True,False
GitHub Search,GitHub Search (waste detection api),legiakhoi963/WasteDetectionAPI,https://github.com/legiakhoi963/WasteDetectionAPI,,,4,True,False
GitHub Search,GitHub Search (waste detection api),matiasmolina/waste-detection-api,https://github.com/matiasmolina/waste-detection-api,,,4,True,False
GitHub Search,GitHub Search (waste detection api),vikasnarayantripathi/cloud-waste-detection-api,https://github.com/vikasnarayantripathi/cloud-waste-detection-api,,,4,True,False
GitHub Search,GitHub Search (waste detection api),SFG006/eco-vision-waste-detection-api,https://github.com/SFG006/eco-vision-waste-detection-api,,,4,True,False
Public Model,HuggingFace,BowerApp/bowie-yolov8-multihead-trash-detection,https://huggingface.co/BowerApp/bowie-yolov8-multihead-trash-detection,"Pipeline:  | Downloads: 0 | Likes: 6 | Tags: en, license:mit, region:us",⬇0 ❤6,4,True,False
Public Model,HuggingFace,watersplash/waste-classification,https://huggingface.co/watersplash/waste-classification,"Pipeline: image-classification | Downloads: 28 | Likes: 2 | Tags: transformers, safetensors, vit, image-classification, endpoints_compatible",⬇28 ❤2,4,True,False
Public Model,HuggingFace,WizardLord160/waste-classification,https://huggingface.co/WizardLord160/waste-classification,"Pipeline: image-classification | Downloads: 0 | Likes: 0 | Tags: transformers, safetensors, vit, image-classification, endpoints_compatible",⬇0 ❤0,4,True,False
Public Model,HuggingFace,MichaelIvanS/VGG16-WasteClassification,https://huggingface.co/MichaelIvanS/VGG16-WasteClassification,"Pipeline:  | Downloads: 1 | Likes: 0 | Tags: tflite, license:mit, region:us",⬇1 ❤0,4,True,False
Public Model,HuggingFace,BinKhoaLe1812/Garbage_Detection,https://huggingface.co/BinKhoaLe1812/Garbage_Detection,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: climate, dataset:BinKhoaLe1812/Garbage_Classification_YOLO, license:mit, region:us",⬇0 ❤0,4,True,False
Public Model,HuggingFace,samraatd/yolov10-waste-detection,https://huggingface.co/samraatd/yolov10-waste-detection,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:unknown, region:us",⬇0 ❤0,4,True,False
Public Model,HuggingFace,Reshini/Food_Waste_Detection_YOLOv8,https://huggingface.co/Reshini/Food_Waste_Detection_YOLOv8,Pipeline:  | Downloads: 0 | Likes: 0 | Tags: region:us,⬇0 ❤0,4,True,False
Public Model,HuggingFace,Razeshhh/Waste-detection-yolov8,https://huggingface.co/Razeshhh/Waste-detection-yolov8,Pipeline:  | Downloads: 0 | Likes: 0 | Tags: region:us,⬇0 ❤0,4,True,False
Public Model,HuggingFace,HrutikAdsare/waste-detection-yolov8,https://huggingface.co/HrutikAdsare/waste-detection-yolov8,"Pipeline: object-detection | Downloads: 36 | Likes: 0 | Tags: ultralytics, object-detection, yolo, yolov8, waste-detection",⬇36 ❤0,4,True,False
Public Model,HuggingFace,esapzoi/litter-detection-yolov8,https://huggingface.co/esapzoi/litter-detection-yolov8,"Pipeline: object-detection | Downloads: 25 | Likes: 0 | Tags: ultralytics, yolov8, object-detection, litter-detection, pytorch",⬇25 ❤0,4,True,False
GitHub Search,GitHub Search (trash detection api),john-foxtrot/trash_det_api,https://github.com/john-foxtrot/trash_det_api,,,3,True,False
GitHub Search,GitHub Search (waste detection api),NSTiwari/TFJS-TFLite-Object-Detection,https://github.com/NSTiwari/TFJS-TFLite-Object-Detection,,,3,True,False
GitHub Search,GitHub Search (waste detection api),tien02/waste_detect_api,https://github.com/tien02/waste_detect_api,,,3,True,False
GitHub Search,GitHub Search (waste detection roboflow),BENi-Aditya/Waste-Segregation-with-Roboflow-and-Arduino,https://github.com/BENi-Aditya/Waste-Segregation-with-Roboflow-and-Arduino,,,3,True,False
Research Paper,arXiv,ARNet: Self-Supervised FG-SBIR with Unified Sample Feature Alignment and Multi-Scale Token Recycling,http://arxiv.org/abs/2406.11551v5,"Fine-Grained Sketch-Based Image Retrieval (FG-SBIR) aims to minimize the distance between sketches and corresponding images in the embedding space. However, scalability is hindered by the growing complexity of solutions, mainly due to the abstract nature of fine-grained sketches. In this paper, we propose an effective approach to narrow the gap between the two domains. It mainly facilitates unifie...",Published: 2024-06-17,3,True,False
Public Model,HuggingFace,hibalaz/trash-detection-model,https://huggingface.co/hibalaz/trash-detection-model,"Pipeline: image-classification | Downloads: 0 | Likes: 0 | Tags: transformers, safetensors, deit, image-classification, arxiv:1910.09700",⬇0 ❤0,3,True,False
Public Model,HuggingFace,Alope/trash-detection-yolo11n,https://huggingface.co/Alope/trash-detection-yolo11n,"Pipeline: object-detection | Downloads: 0 | Likes: 2 | Tags: object-detection, yolov11, trash-detection, license:agpl-3.0, region:us",⬇0 ❤2,3,True,False
Public Model,HuggingFace,Alope/trash-detection-yolo11,https://huggingface.co/Alope/trash-detection-yolo11,"Pipeline:  | Downloads: 0 | Likes: 1 | Tags: license:apache-2.0, region:us",⬇0 ❤1,3,True,False
Public Model,HuggingFace,Oguri02/trash-detection-yolo11l,https://huggingface.co/Oguri02/trash-detection-yolo11l,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:agpl-3.0, region:us",⬇0 ❤0,3,True,False
Public Model,HuggingFace,DevV2M/CNN_Waste_Classification,https://huggingface.co/DevV2M/CNN_Waste_Classification,Pipeline:  | Downloads: 0 | Likes: 0 | Tags: region:us,⬇0 ❤0,3,True,False
Public Model,HuggingFace,hmrizal/recycled_waste_classification,https://huggingface.co/hmrizal/recycled_waste_classification,"Pipeline: image-classification | Downloads: 1 | Likes: 0 | Tags: transformers, tensorboard, safetensors, resnet, image-classification",⬇1 ❤0,3,True,False
Public Model,HuggingFace,dev-kush1803/WasteClassificationCNN,https://huggingface.co/dev-kush1803/WasteClassificationCNN,Pipeline:  | Downloads: 0 | Likes: 0 | Tags: region:us,⬇0 ❤0,3,True,False
Public Model,HuggingFace,itsgokul02/cnn-waste-classification-opencv-pytorch,https://huggingface.co/itsgokul02/cnn-waste-classification-opencv-pytorch,"Pipeline: image-classification | Downloads: 0 | Likes: 0 | Tags: pytorch, CNN, Waste-classification, Image-Classification, image-classification",⬇0 ❤0,3,True,False
Public Model,HuggingFace,kripsjaviya/garbage-image-detection,https://huggingface.co/kripsjaviya/garbage-image-detection,"Pipeline: image-classification | Downloads: 0 | Likes: 1 | Tags: transformers, pytorch, swin, image-classification, autotrain",⬇0 ❤1,3,True,False
Public Model,HuggingFace,Bazaar/cv_corridor_garbage_detection,https://huggingface.co/Bazaar/cv_corridor_garbage_detection,"Pipeline: image-classification | Downloads: 2 | Likes: 0 | Tags: transformers, pytorch, tensorboard, safetensors, vit",⬇2 ❤0,3,True,False
Public Model,HuggingFace,dima806/garbage_types_image_detection,https://huggingface.co/dima806/garbage_types_image_detection,"Pipeline: image-classification | Downloads: 15 | Likes: 1 | Tags: safetensors, vit, image-classification, base_model:google/vit-base-patch16-224-in21k, base_model:finetune:google/vit-base-patch16-224-in21k",⬇15 ❤1,3,True,False
Public Model,HuggingFace,INS-IntelligentNetworkSolutions/waste-detection-faster_rcnn-mmdetection,https://huggingface.co/INS-IntelligentNetworkSolutions/waste-detection-faster_rcnn-mmdetection,"Pipeline: object-detection | Downloads: 0 | Likes: 1 | Tags: waste, dumpsites, drone, droneimagery, waste-detection",⬇0 ❤1,3,True,False
Public Model,HuggingFace,sharktide/waste-detection,https://huggingface.co/sharktide/waste-detection,"Pipeline: object-detection | Downloads: 6 | Likes: 0 | Tags: ultralytics, tensorboard, yolo, torch, torchvision",⬇6 ❤0,3,True,False
Public Model,HuggingFace,Gigaszi/panoramic-waste-detection,https://huggingface.co/Gigaszi/panoramic-waste-detection,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: en, base_model:Ultralytics/YOLO11, base_model:finetune:Ultralytics/YOLO11, license:unlicense, region:us",⬇0 ❤0,3,True,False
GitHub Topic,GitHub Topics (trash-detection),AapseMatlb/pickasso-vision-inference,https://github.com/AapseMatlb/pickasso-vision-inference,,1,2,True,False
GitHub Topic,GitHub Topics (trash-classification),DarkXDemonX/vision-sorter,https://github.com/DarkXDemonX/vision-sorter,,2,2,True,False
GitHub Search,GitHub Search (marine debris detection),orbtl-ai/ml-md-api,https://github.com/orbtl-ai/ml-md-api,,,2,True,False
Public Model,HuggingFace,Jhandry/TrashDetection,https://huggingface.co/Jhandry/TrashDetection,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: climate, es, license:openrail, region:us",⬇0 ❤0,2,True,False
Public Model,HuggingFace,AthikDevelopers/object-detection-trash,https://huggingface.co/AthikDevelopers/object-detection-trash,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: tf-keras, region:us",⬇0 ❤0,2,True,False
Public Model,HuggingFace,rubbi194/trash-detection,https://huggingface.co/rubbi194/trash-detection,Pipeline:  | Downloads: 0 | Likes: 0 | Tags: region:us,⬇0 ❤0,2,True,False
Public Model,HuggingFace,rubbi194/trashdetection,https://huggingface.co/rubbi194/trashdetection,Pipeline:  | Downloads: 0 | Likes: 0 | Tags: region:us,⬇0 ❤0,2,True,False
Public Model,HuggingFace,artmiss/trashify-object-detection-model,https://huggingface.co/artmiss/trashify-object-detection-model,"Pipeline: object-detection | Downloads: 17 | Likes: 0 | Tags: transformers, safetensors, rt_detr_v2, object-detection, arxiv:1910.09700",⬇17 ❤0,2,True,False
Public Model,HuggingFace,XYZ123XYZ/waste-classification,https://huggingface.co/XYZ123XYZ/waste-classification,"Pipeline: text-classification | Downloads: 0 | Likes: 0 | Tags: transformers, tensorboard, safetensors, bert, text-classification",⬇0 ❤0,2,True,False
Public Model,HuggingFace,XYZ123XYZ/waste-classification-2,https://huggingface.co/XYZ123XYZ/waste-classification-2,"Pipeline: text-classification | Downloads: 0 | Likes: 0 | Tags: transformers, tensorboard, safetensors, bert, text-classification",⬇0 ❤0,2,True,False
Public Model,HuggingFace,VasuSingh/fastai_waste_classification,https://huggingface.co/VasuSingh/fastai_waste_classification,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:apache-2.0, region:us",⬇0 ❤0,2,True,False
Public Model,HuggingFace,Tazli/WasteClassification,https://huggingface.co/Tazli/WasteClassification,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:creativeml-openrail-m, region:us",⬇0 ❤0,2,True,False
Public Model,HuggingFace,Giecom/google-vit-base-patch16-224-Waste-O-I-classification,https://huggingface.co/Giecom/google-vit-base-patch16-224-Waste-O-I-classification,"Pipeline: image-classification | Downloads: 0 | Likes: 0 | Tags: transformers, safetensors, vit, image-classification, generated_from_trainer",⬇0 ❤0,2,True,False
Public Model,HuggingFace,sebastiancgeorge/ensembled_waste_classification,https://huggingface.co/sebastiancgeorge/ensembled_waste_classification,"Pipeline:  | Downloads: 7 | Likes: 1 | Tags: keras, license:mit, region:us",⬇7 ❤1,2,True,False
Public Model,HuggingFace,sanjaykatkuri/wasteclassification,https://huggingface.co/sanjaykatkuri/wasteclassification,"Pipeline:  | Downloads: 1 | Likes: 0 | Tags: keras, license:mit, region:us",⬇1 ❤0,2,True,False
Public Model,HuggingFace,petcht1507/waste-classification,https://huggingface.co/petcht1507/waste-classification,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:apache-2.0, region:us",⬇0 ❤0,2,True,False
Public Model,HuggingFace,DoggyDev/LR_waste_classification,https://huggingface.co/DoggyDev/LR_waste_classification,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:unlicense, region:us",⬇0 ❤0,2,True,False
Public Model,HuggingFace,nelsonansu/nelson-bart-waste-classification,https://huggingface.co/nelsonansu/nelson-bart-waste-classification,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: transformers, safetensors, bart, text2text-generation, arxiv:1910.09700",⬇0 ❤0,2,True,False
Public Model,HuggingFace,HrutikAdsare/Waste-classification,https://huggingface.co/HrutikAdsare/Waste-classification,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: tensorboard, region:us",⬇0 ❤0,2,True,False
Public Model,HuggingFace,vighnesh-18/Intelligent-Waste-Classification,https://huggingface.co/vighnesh-18/Intelligent-Waste-Classification,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:apache-2.0, region:us",⬇0 ❤0,2,True,False
Public Model,HuggingFace,nonamelife/garbage-detection-model,https://huggingface.co/nonamelife/garbage-detection-model,"Pipeline:  | Downloads: 5 | Likes: 0 | Tags: keras, region:us",⬇5 ❤0,2,True,False
Public Model,HuggingFace,Numgfsdf/garbage-detection-model,https://huggingface.co/Numgfsdf/garbage-detection-model,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:apache-2.0, region:us",⬇0 ❤0,2,True,False
