Category,Source,Title,Link,Description,Stars,RelevanceScore,HasPublicModel,PhilippinesRelevant
Research Paper,arXiv,StreetView-Waste: A Multi-Task Dataset for Urban Waste Management,http://arxiv.org/abs/2511.16440v1,"Urban waste management remains a critical challenge for the development of smart cities. Despite the growing number of litter detection datasets, the problem of monitoring overflowing waste containers, particularly from images captured by garbage trucks, has received little attention. While existing datasets are valuable, they often lack annotations for specific container tracking or are captured ...",Published: 2025-11-20,11,True,True
Research Paper,arXiv,"An Integrated System for WEEE Sorting Employing X-ray Imaging, AI-based Object Detection and Segmentation, and Delta Robot Manipulation",http://arxiv.org/abs/2512.05599v1,"Battery recycling is becoming increasingly critical due to the rapid growth in battery usage and the limited availability of natural resources. Moreover, as battery energy densities continue to rise, improper handling during recycling poses significant safety hazards, including potential fires at recycling facilities. Numerous systems have been proposed for battery detection and removal from WEEE ...",Published: 2025-12-05,11,True,True
Research Paper,arXiv,Garbage Vulnerable Point Monitoring using IoT and Computer Vision,http://arxiv.org/abs/2511.07325v1,"This paper proposes a smart way to manage municipal solid waste by using the Internet of Things (IoT) and computer vision (CV) to monitor illegal waste dumping at garbage vulnerable points (GVPs) in urban areas. The system can quickly detect and monitor dumped waste using a street-level camera and object detection algorithm. Data was collected from the Sangareddy district in Telangana, India. A se...",Published: 2025-11-10,11,True,False
Research Paper,arXiv,AI Based Waste classifier with Thermo-Rapid Composting,http://arxiv.org/abs/2108.01394v1,Waste management is a certainly a very complex and difficult process especially in very large cities. It needs immense man power and also uses up other resources such as electricity and fuel. This creates a need to use a novel method with help of latest technologies. Here in this article we present a new waste classification technique using Computer Vision (CV) and deep learning (DL). To further i...,Published: 2021-08-03,11,True,False
Research Paper,arXiv,State of the art applications of deep learning within tracking and detecting marine debris: A survey,http://arxiv.org/abs/2403.18067v1,"Deep learning techniques have been explored within the marine litter problem for approximately 20 years but the majority of the research has developed rapidly in the last five years. We provide an in-depth, up to date, summary and analysis of 28 of the most recent and significant contributions of deep learning in marine debris. From cross referencing the research paper results, the YOLO family sig...",Published: 2024-03-26,11,True,False
Research Paper,arXiv,Optimizing Waste Management with Advanced Object Detection for Garbage Classification,http://arxiv.org/abs/2410.09975v2,"Garbage production and littering are persistent global issues that pose significant environmental challenges. Despite large-scale efforts to manage waste through collection and sorting, existing approaches remain inefficient, leading to inadequate recycling and disposal. Therefore, developing advanced AI-based systems is less labor intensive approach for addressing the growing waste problem more e...",Published: 2024-10-13,11,True,False
Research Paper,arXiv,Implementing Edge Based Object Detection For Microplastic Debris,http://arxiv.org/abs/2307.16289v1,"Plastic has imbibed itself as an indispensable part of our day to day activities, becoming a source of problems due to its non-biodegradable nature and cheaper production prices. With these problems, comes the challenge of mitigating and responding to the aftereffects of disposal or the lack of proper disposal which leads to waste concentrating in locations and disturbing ecosystems for both plant...",Published: 2023-07-30,10,True,False
Research Paper,arXiv,Instance Semantic Segmentation Benefits from Generative Adversarial Networks,http://arxiv.org/abs/2010.13757v2,"In design of instance segmentation networks that reconstruct masks, segmentation is often taken as its literal definition -- assigning each pixel a label. This has led to thinking the problem as a template matching one with the goal of minimizing the loss between the reconstructed and the ground truth pixels. Rethinking reconstruction networks as a generator, we define the problem of predicting ma...",Published: 2020-10-26,9,True,True
GitHub Search,GitHub Search (trash detection Philippines),rmlaylo/WHAT-A-WASTE--Recovering-Trash-from-Philippine-Landfills-with-Object-Detection,https://github.com/rmlaylo/WHAT-A-WASTE--Recovering-Trash-from-Philippine-Landfills-with-Object-Detection,,,9,False,True
Research Paper,arXiv,Advancing Recycling Efficiency: A Comparative Analysis of Deep Learning Models in Waste Classification,http://arxiv.org/abs/2411.02779v1,"With the ongoing increase in the worldwide population and escalating consumption habits,there's a surge in the amount of waste produced.The situation poses considerable challenges for waste management and the optimization of recycling operations.The research tackles the pressing issue of waste classification for recycling by analyzing various deep learning models,including Convolutional Neural Net...",Published: 2024-11-05,9,False,True
Research Paper,arXiv,Integrating Trustworthy Artificial Intelligence with Energy-Efficient Robotic Arms for Waste Sorting,http://arxiv.org/abs/2510.17408v1,"This paper presents a novel methodology that integrates trustworthy artificial intelligence (AI) with an energy-efficient robotic arm for intelligent waste classification and sorting. By utilizing a convolutional neural network (CNN) enhanced through transfer learning with MobileNetV2, the system accurately classifies waste into six categories: plastic, glass, metal, paper, cardboard, and trash. T...",Published: 2025-10-20,9,True,False
Research Paper,arXiv,PoTATO: A Dataset for Analyzing Polarimetric Traces of Afloat Trash Objects,http://arxiv.org/abs/2409.12659v1,"Plastic waste in aquatic environments poses severe risks to marine life and human health. Autonomous robots can be utilized to collect floating waste, but they require accurate object identification capability. While deep learning has been widely used as a powerful tool for this task, its performance is significantly limited by outdoor light conditions and water surface reflection. Light polarizat...",Published: 2024-09-19,9,True,False
Research Paper,arXiv,TrashCan: A Semantically-Segmented Dataset towards Visual Detection of Marine Debris,http://arxiv.org/abs/2007.08097v1,"This paper presents TrashCan, a large dataset comprised of images of underwater trash collected from a variety of sources, annotated both using bounding boxes and segmentation labels, for development of robust detectors of marine debris. The dataset has two versions, TrashCan-Material and TrashCan-Instance, corresponding to different object class configurations. The eventual goal is to develop eff...",Published: 2020-07-16,9,True,False
Research Paper,arXiv,Transfer Learning for Instance Segmentation of Waste Bottles using Mask R-CNN Algorithm,http://arxiv.org/abs/2204.07437v1,This paper proposes a methodological approach with a transfer learning scheme for plastic waste bottle detection and instance segmentation using the \textit{mask region proposal convolutional neural network} (Mask R-CNN). Plastic bottles constitute one of the major pollutants posing a serious threat to the environment both in oceans and on land. The automated identification and segregation of bott...,Published: 2022-04-15,9,True,False
Research Paper,arXiv,Construction Site Safety Monitoring and Excavator Activity Analysis System,http://arxiv.org/abs/2110.03083v3,"With the recent advancements in deep learning and computer vision, the AI-powered construction machine such as autonomous excavator has made significant progress. Safety is the most important section in modern construction, where construction machines are more and more automated. In this paper, we propose a vision-based excavator perception, activity analysis, and safety monitoring system. Our per...",Published: 2021-10-06,9,True,False
Research Paper,arXiv,First demonstration of neural sensing and control in a kilometer-scale gravitational wave observatory,http://arxiv.org/abs/2301.06221v2,"Suspended optics in gravitational wave (GW) observatories are susceptible to alignment perturbations, particularly slow drifts over time, due to variations in temperature and seismic levels. Such misalignments affect the coupling of the incident laser beam into the optical cavities, degrade both circulating power and optomechanical photon squeezing and thus decrease the astrophysical sensitivity t...",Published: 2023-01-16,8,True,True
Research Paper,arXiv,Real-Time Trash Detection for Modern Societies using CCTV to Identifying Trash by utilizing Deep Convolutional Neural Network,http://arxiv.org/abs/2109.09611v2,"To protect the environment from trash pollution, especially in societies, and to take strict action against the red-handed people who throws the trash. As modern societies are developing and these societies need a modern solution to make the environment clean. Artificial intelligence (AI) evolution, especially in Deep Learning, gives an excellent opportunity to develop real-time trash detection us...",Published: 2021-09-20,8,False,True
Research Paper,arXiv,DeepWaste: Applying Deep Learning to Waste Classification for a Sustainable Planet,http://arxiv.org/abs/2101.05960v1,"Accurate waste disposal, at the point of disposal, is crucial to fighting climate change. When materials that could be recycled or composted get diverted into landfills, they cause the emission of potent greenhouse gases such as methane. Current attempts to reduce erroneous waste disposal are expensive, inaccurate, and confusing. In this work, we propose DeepWaste, an easy-to-use mobile app, that ...",Published: 2021-01-15,8,True,False
Research Paper,arXiv,Enhancing Object Detection with Privileged Information: A Model-Agnostic Teacher-Student Approach,http://arxiv.org/abs/2601.02016v1,"This paper investigates the integration of the Learning Using Privileged Information (LUPI) paradigm in object detection to exploit fine-grained, descriptive information available during training but not at inference. We introduce a general, model-agnostic methodology for injecting privileged information-such as bounding box masks, saliency maps, and depth cues-into deep learning-based object dete...",Published: 2026-01-05,8,True,False
Research Paper,arXiv,ZeroWaste Dataset: Towards Deformable Object Segmentation in Cluttered Scenes,http://arxiv.org/abs/2106.02740v4,"Less than 35% of recyclable waste is being actually recycled in the US, which leads to increased soil and sea pollution and is one of the major concerns of environmental researchers as well as the common public. At the heart of the problem are the inefficiencies of the waste sorting process (separating paper, plastic, metal, glass, etc.) due to the extremely complex and cluttered nature of the was...",Published: 2021-06-04,8,False,False
Research Paper,arXiv,Comparative Analysis of Multiple Deep CNN Models for Waste Classification,http://arxiv.org/abs/2004.02168v2,Waste is a wealth in a wrong place. Our research focuses on analyzing possibilities for automatic waste sorting and collecting in such a way that helps it for further recycling process. Various approaches are being practiced managing waste but not efficient and require human intervention. The automatic waste segregation would fit in to fill the gap. The project tested well known Deep Learning Netw...,Published: 2020-04-05,8,False,False
Research Paper,arXiv,WasteNet: Waste Classification at the Edge for Smart Bins,http://arxiv.org/abs/2006.05873v1,"Smart Bins have become popular in smart cities and campuses around the world. These bins have a compaction mechanism that increases the bins' capacity as well as automated real-time collection notifications. In this paper, we propose WasteNet, a waste classification model based on convolutional neural networks that can be deployed on a low power device at the edge of the network, such as a Jetson ...",Published: 2020-06-10,7,True,False
Research Paper,arXiv,Classification of PS and ABS Black Plastics for WEEE Recycling Applications,http://arxiv.org/abs/2110.12896v1,"Pollution and climate change are some of the biggest challenges that humanity is facing. In such a context, efficient recycling is a crucial tool for a sustainable future. This work is aimed at creating a system that can classify different types of plastics by using picture analysis, in particular, black plastics of the type Polystyrene (PS) and Acrylonitrile Butadiene Styrene (ABS). They are two ...",Published: 2021-10-20,7,True,False
Research Paper,arXiv,The Marine Debris Forward-Looking Sonar Datasets,http://arxiv.org/abs/2503.22880v1,"Sonar sensing is fundamental for underwater robotics, but limited by capabilities of AI systems, which need large training datasets. Public data in sonar modalities is lacking. This paper presents the Marine Debris Forward-Looking Sonar datasets, with three different settings (watertank, turntable, flooded quarry) increasing dataset diversity and multiple computer vision tasks: object classificati...",Published: 2025-03-28,7,False,False
Research Paper,arXiv,Designing A Sustainable Marine Debris Clean-up Framework without Human Labels,http://arxiv.org/abs/2405.14815v2,"Marine debris poses a significant ecological threat to birds, fish, and other animal life. Traditional methods for assessing debris accumulation involve labor-intensive and costly manual surveys. This study introduces a framework that utilizes aerial imagery captured by drones to conduct remote trash surveys. Leveraging computer vision techniques, our approach detects, classifies, and maps marine ...",Published: 2024-05-23,7,False,False
GitHub Search,GitHub Search (waste detection yolo),PhucHuwu/YOLOv8_Detecting_and_Classifying_Waste,https://github.com/PhucHuwu/YOLOv8_Detecting_and_Classifying_Waste,,,6,False,True
Research Paper,arXiv,A Deep Learning Approach to Predict Hamburg Rutting Curve,http://arxiv.org/abs/2011.09853v1,"Rutting continues to be one of the principal distresses in asphalt pavements worldwide. This type of distress is caused by permanent deformation and shear failure of the asphalt mix under the repetition of heavy loads. The Hamburg wheel tracking test (HWTT) is a widely used testing procedure designed to accelerate, and to simulate the rutting phenomena in the laboratory. Rut depth, as one of the o...",Published: 2020-11-12,6,False,True
GitHub Topic,GitHub Topics (trash-detection),shrimantasatpati/Trash_detection_Yolov10_StreamLit,https://github.com/shrimantasatpati/Trash_detection_Yolov10_StreamLit,,6,6,True,False
Research Paper,arXiv,Towards artificially intelligent recycling Improving image processing for waste classification,http://arxiv.org/abs/2108.06274v1,The ever-increasing amount of global refuse is overwhelming the waste and recycling management industries. The need for smart systems for environmental monitoring and the enhancement of recycling processes is thus greater than ever. Amongst these efforts lies IBM's Wastenet project which aims to improve recycling by using artificial intelligence for waste classification. The work reported in this ...,Published: 2021-08-09,6,True,False
Research Paper,arXiv,Learning Using Privileged Information for Litter Detection,http://arxiv.org/abs/2508.04124v1,"As litter pollution continues to rise globally, developing automated tools capable of detecting litter effectively remains a significant challenge. This study presents a novel approach that combines, for the first time, privileged information with deep learning object detection to improve litter detection while maintaining model efficiency. We evaluate our method across five widely used object det...",Published: 2025-08-06,6,True,False
Research Paper,arXiv,Rock Classification through Knowledge-Enhanced Deep Learning: A Hybrid Mineral-Based Approach,http://arxiv.org/abs/2510.13937v1,"Automated rock classification from mineral composition presents a significant challenge in geological applications, with critical implications for material recycling, resource management, and industrial processing. While existing methods using One dimensional Convolutional Neural Network (1D-CNN) excel at mineral identification through Raman spectroscopy, the crucial step of determining rock types...",Published: 2025-10-15,6,True,False
Research Paper,arXiv,Leveraging CNN and IoT for Effective E-Waste Management,http://arxiv.org/abs/2506.16647v1,"The increasing proliferation of electronic devices in the modern era has led to a significant surge in electronic waste (e-waste). Improper disposal and insufficient recycling of e-waste pose serious environmental and health risks. This paper proposes an IoT-enabled system combined with a lightweight CNN-based classification pipeline to enhance the identification, categorization, and routing of e-...",Published: 2025-06-19,6,True,False
Research Paper,arXiv,TextileNet: A Material Taxonomy-based Fashion Textile Dataset,http://arxiv.org/abs/2301.06160v1,"The rise of Machine Learning (ML) is gradually digitalizing and reshaping the fashion industry. Recent years have witnessed a number of fashion AI applications, for example, virtual try-ons. Textile material identification and categorization play a crucial role in the fashion textile sector, including fashion design, retails, and recycling. At the same time, Net Zero is a global goal and the fashi...",Published: 2023-01-15,6,True,False
Public Model,HuggingFace,turhancan97/yolov8-segment-trash-detection,https://huggingface.co/turhancan97/yolov8-segment-trash-detection,"Pipeline:  | Downloads: 0 | Likes: 5 | Tags: computer-vision, yolov8, segmentation, en, dataset:garythung/trashnet",⬇0 ❤5,6,True,False
Public Model,HuggingFace,turhancan97/yolov5-obb-trash-detection,https://huggingface.co/turhancan97/yolov5-obb-trash-detection,"Pipeline: object-detection | Downloads: 0 | Likes: 5 | Tags: object-detection, computer-vision, en, dataset:garythung/trashnet, dataset:Zesky665/TACO",⬇0 ❤5,5,True,False
Public Model,HuggingFace,kendrickfff/waste-classification-yolov8-ken,https://huggingface.co/kendrickfff/waste-classification-yolov8-ken,"Pipeline: object-detection | Downloads: 0 | Likes: 1 | Tags: object-detection, yolo, yolov8, waste-classification, computer-vision",⬇0 ❤1,5,True,False
GitHub Search,GitHub Search (waste detection yolo),has-bi/Plastic-Waste-Detection-YOLOv5s-Raspberry-Pi4,https://github.com/has-bi/Plastic-Waste-Detection-YOLOv5s-Raspberry-Pi4,,,5,False,False
Research Paper,arXiv,Towards More Efficient EfficientDets and Low-Light Real-Time Marine Debris Detection,http://arxiv.org/abs/2203.07155v1,"Marine debris is a problem both for the health of marine environments and for the human health since tiny pieces of plastic called ""microplastics"" resulting from the debris decomposition over the time are entering the food chain at any levels. For marine debris detection and removal, autonomous underwater vehicles (AUVs) are a potential solution. In this letter, we focus on the efficiency of AUV v...",Published: 2022-03-14,5,False,False
GitHub Topic,GitHub Topics (garbage-classification),Patipol-BKK/alphatrash-dataset,https://github.com/Patipol-BKK/alphatrash-dataset,,3,4,False,True
GitHub Topic,GitHub Topics (trash-classification),Patipol-BKK/alphatrash,https://github.com/Patipol-BKK/alphatrash,,0,4,False,True
GitHub Topic,GitHub Topics (trash-detection),Antraxmin/Trash-Detection-API,https://github.com/Antraxmin/Trash-Detection-API,,5,4,True,False
GitHub Topic,GitHub Topics (garbage-classification),R1SE23/garbage-classification-flask,https://github.com/R1SE23/garbage-classification-flask,,0,4,True,False
GitHub Search,GitHub Search (trash detection api),trasheduits/API-trashdetection,https://github.com/trasheduits/API-trashdetection,,,4,True,False
GitHub Search,GitHub Search (trash detection api),meet-soni5720/trash_detection_api,https://github.com/meet-soni5720/trash_detection_api,,,4,True,False
GitHub Search,GitHub Search (trash detection api),AlexandraGoff/trash-detection-api,https://github.com/AlexandraGoff/trash-detection-api,,,4,True,False
GitHub Search,GitHub Search (trash detection api),streetstylecoder/trash-detection-api,https://github.com/streetstylecoder/trash-detection-api,,,4,True,False
GitHub Search,GitHub Search (trash detection api),maruf-bin-salim/trash-detection-api,https://github.com/maruf-bin-salim/trash-detection-api,,,4,True,False
GitHub Search,GitHub Search (waste detection api),bimarakajati/WasteTrack-YOLO-API,https://github.com/bimarakajati/WasteTrack-YOLO-API,,,4,True,False
GitHub Search,GitHub Search (waste detection api),legiakhoi963/WasteDetectionAPI,https://github.com/legiakhoi963/WasteDetectionAPI,,,4,True,False
GitHub Search,GitHub Search (waste detection api),matiasmolina/waste-detection-api,https://github.com/matiasmolina/waste-detection-api,,,4,True,False
GitHub Search,GitHub Search (waste detection api),vikasnarayantripathi/cloud-waste-detection-api,https://github.com/vikasnarayantripathi/cloud-waste-detection-api,,,4,True,False
GitHub Search,GitHub Search (waste detection api),SFG006/eco-vision-waste-detection-api,https://github.com/SFG006/eco-vision-waste-detection-api,,,4,True,False
Public Model,HuggingFace,BowerApp/bowie-yolov8-multihead-trash-detection,https://huggingface.co/BowerApp/bowie-yolov8-multihead-trash-detection,"Pipeline:  | Downloads: 0 | Likes: 6 | Tags: en, license:mit, region:us",⬇0 ❤6,4,True,False
Public Model,HuggingFace,watersplash/waste-classification,https://huggingface.co/watersplash/waste-classification,"Pipeline: image-classification | Downloads: 28 | Likes: 2 | Tags: transformers, safetensors, vit, image-classification, endpoints_compatible",⬇28 ❤2,4,True,False
Public Model,HuggingFace,WizardLord160/waste-classification,https://huggingface.co/WizardLord160/waste-classification,"Pipeline: image-classification | Downloads: 0 | Likes: 0 | Tags: transformers, safetensors, vit, image-classification, endpoints_compatible",⬇0 ❤0,4,True,False
Public Model,HuggingFace,MichaelIvanS/VGG16-WasteClassification,https://huggingface.co/MichaelIvanS/VGG16-WasteClassification,"Pipeline:  | Downloads: 1 | Likes: 0 | Tags: tflite, license:mit, region:us",⬇1 ❤0,4,True,False
Public Model,HuggingFace,BinKhoaLe1812/Garbage_Detection,https://huggingface.co/BinKhoaLe1812/Garbage_Detection,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: climate, dataset:BinKhoaLe1812/Garbage_Classification_YOLO, license:mit, region:us",⬇0 ❤0,4,True,False
Public Model,HuggingFace,samraatd/yolov10-waste-detection,https://huggingface.co/samraatd/yolov10-waste-detection,"Pipeline:  | Downloads: 0 | Likes: 0 | Tags: license:unknown, region:us",⬇0 ❤0,4,True,False
Public Model,HuggingFace,Reshini/Food_Waste_Detection_YOLOv8,https://huggingface.co/Reshini/Food_Waste_Detection_YOLOv8,Pipeline:  | Downloads: 0 | Likes: 0 | Tags: region:us,⬇0 ❤0,4,True,False
Public Model,HuggingFace,Razeshhh/Waste-detection-yolov8,https://huggingface.co/Razeshhh/Waste-detection-yolov8,Pipeline:  | Downloads: 0 | Likes: 0 | Tags: region:us,⬇0 ❤0,4,True,False
Public Model,HuggingFace,HrutikAdsare/waste-detection-yolov8,https://huggingface.co/HrutikAdsare/waste-detection-yolov8,"Pipeline: object-detection | Downloads: 36 | Likes: 0 | Tags: ultralytics, object-detection, yolo, yolov8, waste-detection",⬇36 ❤0,4,True,False
Public Model,HuggingFace,esapzoi/litter-detection-yolov8,https://huggingface.co/esapzoi/litter-detection-yolov8,"Pipeline: object-detection | Downloads: 25 | Likes: 0 | Tags: ultralytics, yolov8, object-detection, litter-detection, pytorch",⬇25 ❤0,4,True,False
GitHub Topic,GitHub Topics (waste-detection),hadysadya/yolov10-waste-detection,https://github.com/hadysadya/yolov10-waste-detection,,0,4,False,False
GitHub Topic,GitHub Topics (waste-detection),kunalmishravitb/End-to-End-Waste-Detection-Using-YOLOv5,https://github.com/kunalmishravitb/End-to-End-Waste-Detection-Using-YOLOv5,,0,4,False,False
GitHub Topic,GitHub Topics (garbage-detection),RunRiotComeOn/yolov8-based-garbage-classification-app,https://github.com/RunRiotComeOn/yolov8-based-garbage-classification-app,,0,4,False,False
GitHub Search,GitHub Search (garbage detection model),everestkuang/GarbageDetectionYoloV5,https://github.com/everestkuang/GarbageDetectionYoloV5,,,4,False,False
GitHub Search,GitHub Search (waste detection yolo),ShivamVadalia/Underwater-Waste-Detection-Using-YoloV8-And-Water-Quality-Assessment,https://github.com/ShivamVadalia/Underwater-Waste-Detection-Using-YoloV8-And-Water-Quality-Assessment,,,4,False,False
GitHub Search,GitHub Search (waste detection yolo),MeetShroff/YOLOv8-Based-Waste-Detection-System-for-Recycling-Plants,https://github.com/MeetShroff/YOLOv8-Based-Waste-Detection-System-for-Recycling-Plants,,,4,False,False
GitHub Search,GitHub Search (waste detection yolo),utpalpaul108/waste-detection-using-yoloV5,https://github.com/utpalpaul108/waste-detection-using-yoloV5,,,4,False,False
GitHub Search,GitHub Search (recyclable waste classifier),teamsmcorg/Waste-Classification-using-YOLOv8,https://github.com/teamsmcorg/Waste-Classification-using-YOLOv8,,,4,False,False
GitHub Search,GitHub Search (trash segmentation model),MortezaRezazadeh1990/YOLOv8-Trash-Segmentation,https://github.com/MortezaRezazadeh1990/YOLOv8-Trash-Segmentation,,,4,False,False
Research Paper,arXiv,Super-Resolution Analysis for Landfill Waste Classification,http://arxiv.org/abs/2404.01790v1,"Illegal landfills are a critical issue due to their environmental, economic, and public health impacts. This study leverages aerial imagery for environmental crime monitoring. While advances in artificial intelligence and computer vision hold promise, the challenge lies in training models with high-resolution literature datasets and adapting them to open-access low-resolution images. Considering t...",Published: 2024-04-02,4,False,False
Research Paper,arXiv,VisDA 2022 Challenge: Domain Adaptation for Industrial Waste Sorting,http://arxiv.org/abs/2303.14828v1,"Label-efficient and reliable semantic segmentation is essential for many real-life applications, especially for industrial settings with high visual diversity, such as waste sorting. In industrial waste sorting, one of the biggest challenges is the extreme diversity of the input stream depending on factors like the location of the sorting facility, the equipment available in the facility, and the ...",Published: 2023-03-26,4,False,False
Research Paper,arXiv,RoLID-11K: A Dashcam Dataset for Small-Object Roadside Litter Detection,http://arxiv.org/abs/2601.00398v1,"Roadside litter poses environmental, safety and economic challenges, yet current monitoring relies on labour-intensive surveys and public reporting, providing limited spatial coverage. Existing vision datasets for litter detection focus on street-level still images, aerial scenes or aquatic environments, and do not reflect the unique characteristics of dashcam footage, where litter appears extreme...",Published: 2026-01-01,4,False,False
Research Paper,arXiv,Supervised and Unsupervised Textile Classification via Near-Infrared Hyperspectral Imaging and Deep Learning,http://arxiv.org/abs/2505.03575v1,"Recycling textile fibers is critical to reducing the environmental impact of the textile industry. Hyperspectral near-infrared (NIR) imaging combined with advanced deep learning algorithms offers a promising solution for efficient fiber classification and sorting. In this study, we investigate supervised and unsupervised deep learning models and test their generalization capabilities on different ...",Published: 2025-05-06,4,False,False
Research Paper,arXiv,"""Prompt-Gamma Neutron Activation Analysis (PGNAA)"" Metal Spectral Classification using Deep Learning Method",http://arxiv.org/abs/2208.13909v1,"There is a pressing market demand to minimize the test time of Prompt Gamma Neutron Activation Analysis (PGNAA) spectra measurement machine, so that it could function as an instant material analyzer, e.g. to classify waste samples instantaneously and determine the best recycling method based on the detected compositions of the testing sample.   This article introduces a new development of the deep...",Published: 2022-08-29,4,False,False
GitHub Search,GitHub Search (trash detection api),john-foxtrot/trash_det_api,https://github.com/john-foxtrot/trash_det_api,,,3,True,False
GitHub Search,GitHub Search (waste detection api),NSTiwari/TFJS-TFLite-Object-Detection,https://github.com/NSTiwari/TFJS-TFLite-Object-Detection,,,3,True,False
GitHub Search,GitHub Search (waste detection api),tien02/waste_detect_api,https://github.com/tien02/waste_detect_api,,,3,True,False
GitHub Search,GitHub Search (waste detection roboflow),BENi-Aditya/Waste-Segregation-with-Roboflow-and-Arduino,https://github.com/BENi-Aditya/Waste-Segregation-with-Roboflow-and-Arduino,,,3,True,False
